agent,grid,param_changed,param_value,alpha,episodes,epsilon,epsilon_decay,gamma,iter,sigma,theta
QLearningAgent,A1_grid,gamma,0.6,0.2,2000.0,0.2,0.9,0.6,2000,0.1,
QLearningAgent,A1_grid,gamma,0.99,0.2,2000.0,0.2,0.9,0.99,2000,0.1,
QLearningAgent,A1_grid,alpha,0.3,0.3,2000.0,0.2,0.9,0.9,2000,0.1,
QLearningAgent,A1_grid,alpha,0.5,0.5,2000.0,0.2,0.9,0.9,2000,0.1,
QLearningAgent,A1_grid,epsilon,0.5,0.2,2000.0,0.5,0.9,0.9,2000,0.1,
QLearningAgent,A1_grid,epsilon_decay,0.8,0.2,2000.0,0.2,0.8,0.9,2000,0.1,
QLearningAgent,A1_grid,sigma,0.0,0.2,2000.0,0.2,0.9,0.9,2000,0.0,
QLearningAgent,A1_grid,sigma,0.5,0.2,2000.0,0.2,0.9,0.9,2000,0.5,
QLearningAgent,A1_grid,episodes,5000.0,0.2,5000.0,0.2,0.9,0.9,2000,0.1,
QLearningAgent,A1_grid,iter,5000.0,0.2,2000.0,0.2,0.9,0.9,5000,0.1,
QLearningAgent,Maze,gamma,0.6,0.2,2000.0,0.2,0.9,0.6,2000,0.1,
QLearningAgent,Maze,gamma,0.99,0.2,2000.0,0.2,0.9,0.99,2000,0.1,
QLearningAgent,Maze,alpha,0.3,0.3,2000.0,0.2,0.9,0.9,2000,0.1,
QLearningAgent,Maze,alpha,0.5,0.5,2000.0,0.2,0.9,0.9,2000,0.1,
QLearningAgent,Maze,epsilon,0.5,0.2,2000.0,0.5,0.9,0.9,2000,0.1,
QLearningAgent,Maze,epsilon_decay,0.8,0.2,2000.0,0.2,0.8,0.9,2000,0.1,
QLearningAgent,Maze,sigma,0.0,0.2,2000.0,0.2,0.9,0.9,2000,0.0,
QLearningAgent,Maze,sigma,0.5,0.2,2000.0,0.2,0.9,0.9,2000,0.5,
QLearningAgent,Maze,episodes,5000.0,0.2,5000.0,0.2,0.9,0.9,2000,0.1,
QLearningAgent,Maze,iter,5000.0,0.2,2000.0,0.2,0.9,0.9,5000,0.1,
QLearningAgent,test_grid,gamma,0.6,0.2,2000.0,0.2,0.9,0.6,2000,0.1,
QLearningAgent,test_grid,gamma,0.99,0.2,2000.0,0.2,0.9,0.99,2000,0.1,
QLearningAgent,test_grid,alpha,0.3,0.3,2000.0,0.2,0.9,0.9,2000,0.1,
QLearningAgent,test_grid,alpha,0.5,0.5,2000.0,0.2,0.9,0.9,2000,0.1,
QLearningAgent,test_grid,epsilon,0.5,0.2,2000.0,0.5,0.9,0.9,2000,0.1,
QLearningAgent,test_grid,epsilon_decay,0.8,0.2,2000.0,0.2,0.8,0.9,2000,0.1,
QLearningAgent,test_grid,sigma,0.0,0.2,2000.0,0.2,0.9,0.9,2000,0.0,
QLearningAgent,test_grid,sigma,0.5,0.2,2000.0,0.2,0.9,0.9,2000,0.5,
QLearningAgent,test_grid,episodes,5000.0,0.2,5000.0,0.2,0.9,0.9,2000,0.1,
QLearningAgent,test_grid,iter,5000.0,0.2,2000.0,0.2,0.9,0.9,5000,0.1,
QLearningAgent,large_grid,gamma,0.6,0.2,2000.0,0.2,0.9,0.6,2000,0.1,
QLearningAgent,large_grid,gamma,0.99,0.2,2000.0,0.2,0.9,0.99,2000,0.1,
QLearningAgent,large_grid,alpha,0.3,0.3,2000.0,0.2,0.9,0.9,2000,0.1,
QLearningAgent,large_grid,alpha,0.5,0.5,2000.0,0.2,0.9,0.9,2000,0.1,
QLearningAgent,large_grid,epsilon,0.5,0.2,2000.0,0.5,0.9,0.9,2000,0.1,
QLearningAgent,large_grid,epsilon_decay,0.8,0.2,2000.0,0.2,0.8,0.9,2000,0.1,
QLearningAgent,large_grid,sigma,0.0,0.2,2000.0,0.2,0.9,0.9,2000,0.0,
QLearningAgent,large_grid,sigma,0.5,0.2,2000.0,0.2,0.9,0.9,2000,0.5,
