agent,grid,param_changed,param_value,alpha,episodes,epsilon,epsilon_decay,gamma,iter,sigma,theta,cumulative_reward,total_steps,total_agent_moves,total_failed_moves,total_targets_reached,targets_remaining
QLearningAgent,A1_grid,gamma,0.6,0.2,2000.0,0.2,0.9,0.6,2000,0.1,,23.0,16,14,2,1,0
QLearningAgent,A1_grid,gamma,0.99,0.2,2000.0,0.2,0.9,0.99,2000,0.1,,23.0,16,14,2,1,0
QLearningAgent,A1_grid,alpha,0.3,0.3,2000.0,0.2,0.9,0.9,2000,0.1,,23.0,16,14,2,1,0
QLearningAgent,A1_grid,alpha,0.5,0.5,2000.0,0.2,0.9,0.9,2000,0.1,,35.0,16,16,0,1,0
QLearningAgent,A1_grid,epsilon,0.5,0.2,2000.0,0.5,0.9,0.9,2000,0.1,,35.0,16,16,0,1,0
QLearningAgent,A1_grid,epsilon_decay,0.8,0.2,2000.0,0.2,0.8,0.9,2000,0.1,,28.0,17,16,1,1,0
QLearningAgent,A1_grid,sigma,0.0,0.2,2000.0,0.2,0.9,0.9,2000,0.0,,39.0,12,12,0,1,0
QLearningAgent,A1_grid,sigma,0.5,0.2,2000.0,0.2,0.9,0.9,2000,0.5,,15.0,24,22,2,1,0
QLearningAgent,A1_grid,episodes,5000.0,0.2,5000.0,0.2,0.9,0.9,2000,0.1,,35.0,16,16,0,1,0
QLearningAgent,A1_grid,iter,5000.0,0.2,2000.0,0.2,0.9,0.9,5000,0.1,,28.0,17,16,1,1,0
QLearningAgent,Maze,gamma,0.6,0.2,2000.0,0.2,0.9,0.6,2000,0.1,,8.0,37,36,1,1,0
QLearningAgent,Maze,gamma,0.99,0.2,2000.0,0.2,0.9,0.99,2000,0.1,,8.0,37,36,1,1,0
QLearningAgent,Maze,alpha,0.3,0.3,2000.0,0.2,0.9,0.9,2000,0.1,,8.0,37,36,1,1,0
QLearningAgent,Maze,alpha,0.5,0.5,2000.0,0.2,0.9,0.9,2000,0.1,,8.0,37,36,1,1,0
QLearningAgent,Maze,epsilon,0.5,0.2,2000.0,0.5,0.9,0.9,2000,0.1,,8.0,37,36,1,1,0
QLearningAgent,Maze,epsilon_decay,0.8,0.2,2000.0,0.2,0.8,0.9,2000,0.1,,8.0,37,36,1,1,0
QLearningAgent,Maze,sigma,0.0,0.2,2000.0,0.2,0.9,0.9,2000,0.0,,17.0,34,34,0,1,0
QLearningAgent,Maze,sigma,0.5,0.2,2000.0,0.2,0.9,0.9,2000,0.5,,-74.0,71,62,9,1,0
QLearningAgent,Maze,episodes,5000.0,0.2,5000.0,0.2,0.9,0.9,2000,0.1,,8.0,37,36,1,1,0
QLearningAgent,Maze,iter,5000.0,0.2,2000.0,0.2,0.9,0.9,5000,0.1,,8.0,37,36,1,1,0
QLearningAgent,test_grid,gamma,0.6,0.2,2000.0,0.2,0.9,0.6,2000,0.1,,41.0,4,3,1,1,0
QLearningAgent,test_grid,gamma,0.99,0.2,2000.0,0.2,0.9,0.99,2000,0.1,,41.0,4,3,1,1,0
QLearningAgent,test_grid,alpha,0.3,0.3,2000.0,0.2,0.9,0.9,2000,0.1,,41.0,4,3,1,1,0
