agent,grid,param_changed,param_value,alpha,alpha_decay,alpha_min,episodes,epsilon,epsilon_decay,epsilon_min,gamma,iter,sigma,theta,cumulative_reward,total_steps,total_agent_moves,total_failed_moves,total_targets_reached,targets_remaining
QLearningAgent,A1_grid,gamma,0.6,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.6,20000,0.1,,25.0,26,26,0,1,0
QLearningAgent,A1_grid,gamma,0.9,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.9,20000,0.1,,27.0,24,24,0,1,0
QLearningAgent,A1_grid,alpha,0.2,0.2,0.99,0.01,5000.0,0.5,0.99,0.01,0.99,20000,0.1,,27.0,24,24,0,1,0
QLearningAgent,A1_grid,alpha,0.5,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.99,20000,0.1,,27.0,24,24,0,1,0
QLearningAgent,A1_grid,alpha_decay,0.99,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.99,20000,0.1,,27.0,24,24,0,1,0
QLearningAgent,A1_grid,alpha_decay,1.0,0.5,1.0,0.01,5000.0,0.5,0.99,0.01,0.99,20000,0.1,,27.0,24,24,0,1,0
QLearningAgent,A1_grid,epsilon,0.2,0.5,0.99,0.01,5000.0,0.2,0.99,0.01,0.99,20000,0.1,,27.0,24,24,0,1,0
QLearningAgent,A1_grid,epsilon,0.5,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.99,20000,0.1,,27.0,24,24,0,1,0
QLearningAgent,A1_grid,epsilon_decay,0.99,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.99,20000,0.1,,27.0,24,24,0,1,0
QLearningAgent,A1_grid,epsilon_decay,1.0,0.5,0.99,0.01,5000.0,0.5,1.0,0.01,0.99,20000,0.1,,27.0,24,24,0,1,0
QLearningAgent,A1_grid,sigma,0.0,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.99,20000,0.0,,27.0,24,24,0,1,0
QLearningAgent,A1_grid,sigma,0.5,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.99,20000,0.5,,27.0,24,24,0,1,0
QLearningAgent,A1_grid,iter,100.0,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.99,100,0.1,,27.0,24,24,0,1,0
QLearningAgent,A1_grid,iter,5000.0,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.99,5000,0.1,,27.0,24,24,0,1,0
QLearningAgent,Maze,gamma,0.6,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.6,20000,0.1,,17.0,34,34,0,1,0
QLearningAgent,Maze,gamma,0.9,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.9,20000,0.1,,17.0,34,34,0,1,0
QLearningAgent,Maze,alpha,0.2,0.2,0.99,0.01,5000.0,0.5,0.99,0.01,0.99,20000,0.1,,17.0,34,34,0,1,0
QLearningAgent,Maze,alpha,0.5,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.99,20000,0.1,,17.0,34,34,0,1,0
QLearningAgent,Maze,alpha_decay,0.99,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.99,20000,0.1,,17.0,34,34,0,1,0
QLearningAgent,Maze,alpha_decay,1.0,0.5,1.0,0.01,5000.0,0.5,0.99,0.01,0.99,20000,0.1,,17.0,34,34,0,1,0
QLearningAgent,Maze,epsilon,0.2,0.5,0.99,0.01,5000.0,0.2,0.99,0.01,0.99,20000,0.1,,17.0,34,34,0,1,0
QLearningAgent,Maze,epsilon,0.5,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.99,20000,0.1,,17.0,34,34,0,1,0
QLearningAgent,Maze,epsilon_decay,0.99,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.99,20000,0.1,,17.0,34,34,0,1,0
QLearningAgent,Maze,epsilon_decay,1.0,0.5,0.99,0.01,5000.0,0.5,1.0,0.01,0.99,20000,0.1,,17.0,34,34,0,1,0
QLearningAgent,Maze,sigma,0.0,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.99,20000,0.0,,17.0,34,34,0,1,0
QLearningAgent,Maze,sigma,0.5,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.99,20000,0.5,,17.0,34,34,0,1,0
QLearningAgent,Maze,iter,100.0,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.99,100,0.1,,17.0,34,34,0,1,0
QLearningAgent,Maze,iter,5000.0,0.5,0.99,0.01,5000.0,0.5,0.99,0.01,0.99,5000,0.1,,17.0,34,34,0,1,0
ValueIterationAgent,A1_grid,gamma,0.6,,,,,,,,0.6,20000,0.1,1e-06,-20000.0,20000,20000,0,0,1
ValueIterationAgent,A1_grid,gamma,0.9,,,,,,,,0.9,20000,0.1,1e-06,27.0,24,24,0,1,0
ValueIterationAgent,A1_grid,sigma,0.0,,,,,,,,0.99,20000,0.0,1e-06,27.0,24,24,0,1,0
ValueIterationAgent,A1_grid,sigma,0.5,,,,,,,,0.99,20000,0.5,1e-06,27.0,24,24,0,1,0
ValueIterationAgent,A1_grid,iter,100.0,,,,,,,,0.99,100,0.1,1e-06,27.0,24,24,0,1,0
ValueIterationAgent,A1_grid,iter,5000.0,,,,,,,,0.99,5000,0.1,1e-06,27.0,24,24,0,1,0
ValueIterationAgent,Maze,gamma,0.6,,,,,,,,0.6,20000,0.1,1e-06,-20000.0,20000,20000,0,0,1
ValueIterationAgent,Maze,gamma,0.9,,,,,,,,0.9,20000,0.1,1e-06,17.0,34,34,0,1,0
ValueIterationAgent,Maze,sigma,0.0,,,,,,,,0.99,20000,0.0,1e-06,17.0,34,34,0,1,0
ValueIterationAgent,Maze,sigma,0.5,,,,,,,,0.99,20000,0.5,1e-06,17.0,34,34,0,1,0
ValueIterationAgent,Maze,iter,100.0,,,,,,,,0.99,100,0.1,1e-06,17.0,34,34,0,1,0
ValueIterationAgent,Maze,iter,5000.0,,,,,,,,0.99,5000,0.1,1e-06,17.0,34,34,0,1,0
MCAgentOn,A1_grid,gamma,0.6,0.5,0.99,1e-08,3000.0,0.5,0.99,0.01,0.6,20000,0.1,,-20000.0,20000,20000,0,0,1
MCAgentOn,A1_grid,gamma,0.9,0.5,0.99,1e-08,3000.0,0.5,0.99,0.01,0.9,20000,0.1,,23.0,28,28,0,1,0
MCAgentOn,A1_grid,alpha,0.2,0.2,0.99,1e-08,3000.0,0.5,0.99,0.01,0.99,20000,0.1,,27.0,24,24,0,1,0
MCAgentOn,A1_grid,alpha,0.5,0.5,0.99,1e-08,3000.0,0.5,0.99,0.01,0.99,20000,0.1,,-140000.0,20000,0,20000,0,1
MCAgentOn,A1_grid,alpha_decay,0.99,0.5,0.99,1e-08,3000.0,0.5,0.99,0.01,0.99,20000,0.1,,-140000.0,20000,0,20000,0,1
